id,nome,ugrhi
1,Mantiqueira,UGRHI Mantiqueira
2,Sapucaí/Grande,UGRHI Sapucaí/Grande
3,Tietê/Sorocaba,UGRHI Tietê/Sorocaba
4,Baixo Pardo/Grande,UGRHI Baixo Pardo/Grande
5,Tietê/Jacaré,UGHRI Tietê/Jacaré
6,Alto Paranapanema,UGRHI Alto Paranapanema
7,Turvo/Grande,UGRHI Turvo/Grande
8,Tietê/Batalha,UGRHI Tietê/Batalha
9,São José dos Dourados,UGRHI São José dos Dourados
10,Baixo Tietê,UGRHI Baixo Tietê
11,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
12,Alto Tietê,UGRHI Alto Tietê
13,Cotia/Pirapora,UGRHI Alto Tietê
14,Alto Mogi,UGRHI Mogi-Guaçu
15,Médio Mogi Superior,UGRHI Mogi-Guaçu
16,Médio Mogi Inferior,UGRHI Mogi-Guaçu
