id_municipio,municipio_nome,id_gaema,id_redeprotetiva,num_gaema,gaema_nome,gaema_secretario,gaema_secretario_funcao,gaema_endereco,gaema_numero,gaema_complemento,gaema_bairro,gaema_cep,gaema_municipio,gaema_telefone,gaema_email,gaema_link,gaema_ato_criacao,gaema_ato_criacao_link,rp_num,rp_nome,rp_ugrhi
3500105,Adamantina,,11.0,,,,,,,,,,,,,,,,XI,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3500204,Adolfo,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3500303,Aguaí,,14.0,,,,,,,,,,,,,,,,XIV,Alto Mogi,UGRHI Mogi-Guaçu
3500402,Águas da Prata,,14.0,,,,,,,,,,,,,,,,XIV,Alto Mogi,UGRHI Mogi-Guaçu
3500501,Águas de Lindóia,,14.0,,,,,,,,,,,,,,,,XIV,Alto Mogi,UGRHI Mogi-Guaçu
3500550,Águas de Santa Bárbara,,6.0,,,,,,,,,,,,,,,,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3500600,Águas de São Pedro,11.0,,XI,Núcleo PCJ-Piracicaba,Dra. Alexandra Facciolli Martins,1º PJ de Piracicaba,Rua Almirante Barroso,491,,São Judas,13416-398,Piracicaba,(19) 3433-6185 / 3434-7843,gaemapiracicaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/piracicaba,"Ato Normativo nº 716/11-PGJ, de 05/10/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/716.pdf,,,
3500709,Agudos,7.0,,VII,Núcleo Médio Paranapanema,Dr. Luis Fernando Rocha,3º PJ de Assis,Rua Vinte e Quatro de Maio,2,,Vila Clementina,19806-030,Assis,(18) 3322-2155 / 3324-2378,gaemaparanapanema@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Medio_Paranapanema,"Ato Normativo nº 649/10-PGJ, de 17/06/10",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/649.pdf,,,
3500758,Alambari,,6.0,,,,,,,,,,,,,,,,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3500808,Alfredo Marcondes,6.0,,VI,Núcleo Pontal do Paranapanema,Dr. Gabriel Lino de Paula Pires,11º PJ de Presidente Prudente,Avenida Brasil,494,,Centro,19010-031,Presidente Prudente,(18) 3345-2185 / 3345-2150,gaemaprudente@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/PontalParanapanema,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3500907,Altair,,7.0,,,,,,,,,,,,,,,,VII,Turvo/Grande,UGRHI Turvo/Grande
3501004,Altinópolis,5.0,,V,Núcleo Pardo,Dr. Guilherme Chaves Nascimento,1º PJ de Cravinhos,Rua Alice Alem Saad,855,,Nova Ribeirânia,14096-570,Ribeirão Preto,(16) 3995-1453 / 3995-1451,gaemapardo@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Pardo,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,
3501103,Alto Alegre,,10.0,,,,,,,,,,,,,,,,X,Baixo Tietê,UGRHI Baixo Tietê
3501152,Alumínio,12.0,,XII,Núcleo Tietê/Sorocaba,Dr. Antonio Domingues Farto Neto,,Avenida Engenheiro Carlos Reinaldo Mendes,3200,Sala 609,Alto da Boa Vista,18013-280,Sorocaba,(15) 3228-6700,gaematietesorocaba@mpsp.mp.br,http://www.mpsp.mp.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/tiete_sorocaba,"Ato Normativo nº 848/14-PGJ, de 17/10/14",http://biblioteca.mpsp.mp.br/PHL_IMG/Atos/848.pdf,,,
3501202,Álvares Florence,,7.0,,,,,,,,,,,,,,,,VII,Turvo/Grande,UGRHI Turvo/Grande
