id_municipio,municipio_nome,id_ar,ar_nome
3500105,Adamantina,3541406,Presidente Prudente
3500204,Adolfo,3549805,São José do Rio Preto
3500303,Aguaí,3509502,Campinas
3500402,Águas da Prata,3509502,Campinas
3500501,Águas de Lindóia,3509502,Campinas
3500550,Águas de Santa Bárbara,3506003,Bauru
3500600,Águas de São Pedro,3538709,Piracicaba
3500709,Agudos,3506003,Bauru
3500758,Alambari,3552205,Sorocaba
3500808,Alfredo Marcondes,3541406,Presidente Prudente
3500907,Altair,3549805,São José do Rio Preto
3501004,Altinópolis,3516200,Franca
3501103,Alto Alegre,3502804,Araçatuba
3501152,Alumínio,3552205,Sorocaba
3501202,Álvares Florence,3549805,São José do Rio Preto
3501301,Álvares Machado,3541406,Presidente Prudente
3501400,Álvaro de Carvalho,3506003,Bauru
3501509,Alvinlândia,3506003,Bauru
3501608,Americana,3538709,Piracicaba
3501707,Américo Brasiliense,3543402,Ribeirão Preto
3501806,Américo de Campos,3549805,São José do Rio Preto
3501905,Amparo,3509502,Campinas
3502002,Analândia,3538709,Piracicaba
3502101,Andradina,3502804,Araçatuba
3502200,Angatuba,3552205,Sorocaba
3502309,Anhembi,3538709,Piracicaba
3502408,Anhumas,3541406,Presidente Prudente
3502507,Aparecida,3554102,Taubaté
3502606,Aparecida d'Oeste,3549805,São José do Rio Preto
3502705,Apiaí,3552205,Sorocaba
3502754,Araçariguama,3552205,Sorocaba
3502804,Araçatuba,3502804,Araçatuba
3502903,Araçoiaba da Serra,3552205,Sorocaba
3503000,Aramina,3516200,Franca
3503109,Arandu,3506003,Bauru
3503158,Arapeí,3554102,Taubaté
3503208,Araraquara,3543402,Ribeirão Preto
3503307,Araras,3538709,Piracicaba
3503356,Arco-Íris,3541406,Presidente Prudente
3503406,Arealva,3506003,Bauru
3503505,Areias,3554102,Taubaté
3503604,Areiópolis,3506003,Bauru
3503703,Ariranha,3549805,São José do Rio Preto
3503802,Artur Nogueira,3509502,Campinas
3503901,Arujá,2,Grande São Paulo
3503950,Aspásia,3549805,São José do Rio Preto
3504008,Assis,3541406,Presidente Prudente
3504107,Atibaia,3509502,Campinas
3504206,Auriflama,3549805,São José do Rio Preto
3504305,Avaí,3506003,Bauru
3504404,Avanhandava,3502804,Araçatuba
3504503,Avaré,3506003,Bauru
3504602,Bady Bassitt,3549805,São José do Rio Preto
3504701,Balbinos,3506003,Bauru
3504800,Bálsamo,3549805,São José do Rio Preto
3504909,Bananal,3554102,Taubaté
3505005,Barão de Antonina,3552205,Sorocaba
3505104,Barbosa,3502804,Araçatuba
3505203,Bariri,3506003,Bauru
3505302,Barra Bonita,3506003,Bauru
3505351,Barra do Chapéu,3552205,Sorocaba
3505401,Barra do Turvo,3,Vale do Ribeira
3505500,Barretos,3549805,São José do Rio Preto
3505609,Barrinha,3543402,Ribeirão Preto
3505708,Barueri,2,Grande São Paulo
3505807,Bastos,3541406,Presidente Prudente
3505906,Batatais,3516200,Franca
3506003,Bauru,3506003,Bauru
3506102,Bebedouro,3543402,Ribeirão Preto
3506201,Bento de Abreu,3502804,Araçatuba
3506300,Bernardino de Campos,3506003,Bauru
3506359,Bertioga,3548500,Santos
3506409,Bilac,3502804,Araçatuba
3506508,Birigui,3502804,Araçatuba
3506607,Biritiba-Mirim,2,Grande São Paulo
3506706,Boa Esperança do Sul,3543402,Ribeirão Preto
3506805,Bocaina,3506003,Bauru
3506904,Bofete,3552205,Sorocaba
3507001,Boituva,3552205,Sorocaba
3507100,Bom Jesus dos Perdões,3509502,Campinas
3507159,Bom Sucesso de Itararé,3552205,Sorocaba
3507209,Borá,3541406,Presidente Prudente
3507308,Boracéia,3506003,Bauru
3507407,Borborema,3506003,Bauru
