municipio,pj,url,ar,tem_pj
Adolfo,José Bonifácio,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jose_bonifacio,São José do Rio Preto,Não
Altair,Olímpia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_olimpia,São José do Rio Preto,Não
Américo de Campos,Tanabi,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_tanabi,São José do Rio Preto,Não
Aparecida D'Oeste,Palmeira D'Oeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_palmeira_oeste,São José do Rio Preto,Não
Ariranha,Santa Adélia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_santa_adelia,São José do Rio Preto,Não
Aspásia,Urânia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_urania,São José do Rio Preto,Não
Baby Bassitt,São José do Rio Preto,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_sao_jose,São José do Rio Preto,Não
Bálsamo,Mirassol,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_mirassol,São José do Rio Preto,Não
Cajobi,Olímpia,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_olimpia,São José do Rio Preto,Não
Catinguá,Tabapuã,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_tabapua,São José do Rio Preto,Não
Cedral,São José do Rio Preto,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_sao_jose,São José do Rio Preto,Não
Colômbia,Barretos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_barretos,São José do Rio Preto,Não
Cosmorama,Tanabi,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_tanabi,São José do Rio Preto,Não
Dirce Reis,Jales,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jales,São José do Rio Preto,Não
Dolcinópolis,Estrela D'Oeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_estrela_oeste,São José do Rio Preto,Não
