id_municipio,municipio_nome,pj_id,ar_id
3500105,Adamantina,adamantina,presidente prudente
3500204,Adolfo,jose bonifacio,sao jose do rio preto
3500303,Aguaí,aguai,campinas
3500402,Águas da Prata,sao joao da boa vista,campinas
3500501,Águas de Lindóia,aguas de lindoia,campinas
3500550,Águas de Santa Bárbara,cerqueira cesar,bauru
3500600,Águas de São Pedro,sao pedro,piracicaba
3500709,Agudos,agudos,bauru
3500758,Alambari,itapetininga,sorocaba
3500808,Alfredo Marcondes,presidente prudente,presidente prudente
3500907,Altair,olimpia,sao jose do rio preto
3501004,Altinópolis,altinopolis,franca
3501103,Alto Alegre,penapolis,aracatuba
3501152,Alumínio,mairinque,sorocaba
3501202,Álvares Florence,votuporanga,sao jose do rio preto
3501301,Álvares Machado,presidente prudente,presidente prudente
3501400,Álvaro de Carvalho,garca,bauru
3501509,Alvinlândia,garca,bauru
3501608,Americana,americana,piracicaba
3501707,Américo Brasiliense,americo brasiliense,ribeirao preto
3501806,Américo de Campos,tanabi,sao jose do rio preto
3501905,Amparo,amparo,campinas
3502002,Analândia,itirapina,piracicaba
3502101,Andradina,andradina,aracatuba
3502200,Angatuba,angatuba,sorocaba
3502309,Anhembi,conchas,piracicaba
3502408,Anhumas,presidente prudente,presidente prudente
3502507,Aparecida,aparecida,taubate
3502606,Aparecida d'Oeste,palmeira d'oeste,sao jose do rio preto
3502705,Apiaí,apiai,sorocaba
3502754,Araçariguama,sao roque,sorocaba
3502804,Araçatuba,aracatuba,aracatuba
3502903,Araçoiaba da Serra,sorocaba,sorocaba
3503000,Aramina,igarapava,franca
3503109,Arandu,avare,bauru
3503158,Arapeí,bananal,taubate
3503208,Araraquara,araraquara,ribeirao preto
3503307,Araras,araras,piracicaba
3503356,Arco-Íris,tupa,presidente prudente
3503406,Arealva,bauru,bauru
3503505,Areias,queluz,taubate
3503604,Areiópolis,sao manuel,bauru
3503703,Ariranha,santa adelia,sao jose do rio preto
3503802,Artur Nogueira,artur nogueira,campinas
3503901,Arujá,aruja,grande sao paulo
3503950,Aspásia,urania,sao jose do rio preto
3504008,Assis,assis,presidente prudente
3504107,Atibaia,atibaia,campinas
3504206,Auriflama,auriflama,sao jose do rio preto
3504305,Avaí,bauru,bauru
3504404,Avanhandava,penapolis,aracatuba
3504503,Avaré,avare,bauru
3504602,Bady Bassitt,sao jose do rio preto,sao jose do rio preto
3504701,Balbinos,pirajui,bauru
3504800,Bálsamo,mirassol,sao jose do rio preto
3504909,Bananal,bananal,taubate
3505005,Barão de Antonina,itaporanga,sorocaba
3505104,Barbosa,penapolis,aracatuba
3505203,Bariri,bariri,bauru
3505302,Barra Bonita,barra bonita,bauru
3505351,Barra do Chapéu,apiai,sorocaba
3505401,Barra do Turvo,jacupiranga,vale do ribeira
3505500,Barretos,barretos,sao jose do rio preto
3505609,Barrinha,sertaozinho,ribeirao preto
3505708,Barueri,barueri,grande sao paulo
3505807,Bastos,bastos,presidente prudente
3505906,Batatais,batatais,franca
3506003,Bauru,bauru,bauru
3506102,Bebedouro,bebedouro,ribeirao preto
3506201,Bento de Abreu,valparaiso,aracatuba
3506300,Bernardino de Campos,ipaussu,bauru
3506359,Bertioga,bertioga,santos
3506409,Bilac,bilac,aracatuba
3506508,Birigui,birigui,aracatuba
3506607,Biritiba-Mirim,mogi das cruzes,grande sao paulo
3506706,Boa Esperança do Sul,ribeirao bonito,ribeirao preto
3506805,Bocaina,jau,bauru
3506904,Bofete,porangaba,sorocaba
3507001,Boituva,boituva,sorocaba
3507100,Bom Jesus dos Perdões,nazare paulista,campinas
3507159,Bom Sucesso de Itararé,itarare,sorocaba
3507209,Borá,paraguacu paulista,presidente prudente
3507308,Boracéia,pederneiras,bauru
3507407,Borborema,borborema,bauru
3507456,Borebi,lencois paulista,bauru
3507506,Botucatu,botucatu,bauru
3507605,Bragança Paulista,braganca paulista,campinas
3507704,Braúna,penapolis,aracatuba
3507753,Brejo Alegre,birigui,aracatuba
3507803,Brodowski,brodowski,ribeirao preto
3507902,Brotas,brotas,piracicaba
3508009,Buri,buri,sorocaba
3508108,Buritama,buritama,aracatuba
3508207,Buritizal,igarapava,franca
3508306,Cabrália Paulista,duartina,bauru
3508405,Cabreúva,cabreuva,sorocaba
3508504,Caçapava,cacapava,taubate
3508603,Cachoeira Paulista,cachoeira paulista,taubate
3508702,Caconde,caconde,ribeirao preto
3508801,Cafelândia,cafelandia,aracatuba
3508900,Caiabu,regente feijo,presidente prudente
3509007,Caieiras,caieiras,grande sao paulo
3509106,Caiuá,presidente epitacio,presidente prudente
3509205,Cajamar,cajamar,grande sao paulo
3509254,Cajati,jacupiranga,vale do ribeira
3509304,Cajobi,olimpia,sao jose do rio preto
3509403,Cajuru,cajuru,ribeirao preto
3509452,Campina do Monte Alegre,angatuba,sorocaba
3509502,Campinas,campinas,campinas
3509601,Campo Limpo Paulista,campo limpo paulista,grande sao paulo
3509700,Campos do Jordão,campos do jordao,taubate
3509809,Campos Novos Paulista,palmital,bauru
3509908,Cananéia,cananeia,vale do ribeira
3509957,Canas,lorena,taubate
3510005,Cândido Mota,candido mota,presidente prudente
3510104,Cândido Rodrigues,taquaritinga,ribeirao preto
3510153,Canitar,chavantes,bauru
3510203,Capão Bonito,capao bonito,sorocaba
3510302,Capela do Alto,tatui,sorocaba
3510401,Capivari,capivari,piracicaba
3510500,Caraguatatuba,caraguatatuba,taubate
3510609,Carapicuíba,carapicuiba,grande sao paulo
3510708,Cardoso,cardoso,sao jose do rio preto
3510807,Casa Branca,casa branca,ribeirao preto
3510906,Cássia dos Coqueiros,cajuru,ribeirao preto
3511003,Castilho,andradina,aracatuba
3511102,Catanduva,catanduva,sao jose do rio preto
3511201,Catiguá,tabapua,sao jose do rio preto
3511300,Cedral,sao jose do rio preto,sao jose do rio preto
3511409,Cerqueira César,cerqueira cesar,bauru
3511508,Cerquilho,cerquilho,piracicaba
3511607,Cesário Lange,cesario lange,sorocaba
3511706,Charqueada,piracicaba,piracicaba
3557204,Chavantes,chavantes,bauru
3511904,Clementina,birigui,aracatuba
3512001,Colina,colina,sao jose do rio preto
3512100,Colômbia,barretos,sao jose do rio preto
3512209,Conchal,conchal,campinas
3512308,Conchas,conchas,piracicaba
3512407,Cordeirópolis,cordeiropolis,piracicaba
3512506,Coroados,birigui,aracatuba
3512605,Coronel Macedo,taquarituba,sorocaba
3512704,Corumbataí,rio claro,piracicaba
3512803,Cosmópolis,cosmopolis,campinas
3512902,Cosmorama,tanabi,sao jose do rio preto
3513009,Cotia,cotia,grande sao paulo
3513108,Cravinhos,cravinhos,ribeirao preto
3513207,Cristais Paulista,franca,franca
3513306,Cruzália,maracai,presidente prudente
3513405,Cruzeiro,cruzeiro,taubate
3513504,Cubatão,cubatao,santos
3513603,Cunha,cunha,taubate
3513702,Descalvado,descalvado,ribeirao preto
3513801,Diadema,diadema,grande sao paulo
3513850,Dirce Reis,jales,sao jose do rio preto
3513900,Divinolândia,sao sebastiao da grama,ribeirao preto
3514007,Dobrada,matao,ribeirao preto
3514106,Dois Córregos,dois corregos,bauru
3514205,Dolcinópolis,estrela doeste,sao jose do rio preto
3514304,Dourado,ribeirao bonito,ribeirao preto
3514403,Dracena,dracena,presidente prudente
3514502,Duartina,duartina,bauru
3514601,Dumont,sertaozinho,ribeirao preto
3514700,Echaporã,assis,presidente prudente
3514809,Eldorado,eldorado,vale do ribeira
3514908,Elias Fausto,monte mor,campinas
3514924,Elisiário,catanduva,sao jose do rio preto
3514957,Embaúba,olimpia,sao jose do rio preto
3515004,Embu das Artes,embu das artes,grande sao paulo
3515103,Embu-Guaçu,embu guacu,grande sao paulo
3515129,Emilianópolis,presidente bernardes,presidente prudente
3515152,Engenheiro Coelho,artur nogueira,campinas
3515186,Espírito Santo do Pinhal,espirito santo do pinhal,campinas
3515194,Espírito Santo do Turvo,santa cruz do rio pardo,bauru
3557303,Estiva Gerbi,mogi guacu,campinas
3515301,Estrela do Norte,pirapozinho,presidente prudente
3515202,Estrela d'Oeste,estrela d'oeste,sao jose do rio preto
3515350,Euclides da Cunha Paulista,teodoro sampaio,presidente prudente
3515400,Fartura,fartura,bauru
3515608,Fernando Prestes,taquaritinga,ribeirao preto
3515509,Fernandópolis,fernandopolis,sao jose do rio preto
3515657,Fernão,galia,bauru
3515707,Ferraz de Vasconcelos,ferraz de vasconcelos,grande sao paulo
3515806,Flora Rica,pacaembu,presidente prudente
3515905,Floreal,nhandeara,sao jose do rio preto
3516002,Flórida Paulista,florida paulista,presidente prudente
3516101,Florínia,assis,presidente prudente
3516200,Franca,franca,franca
3516309,Francisco Morato,francisco morato,grande sao paulo
3516408,Franco da Rocha,franco da rocha,grande sao paulo
3516507,Gabriel Monteiro,bilac,aracatuba
3516606,Gália,galia,bauru
3516705,Garça,garca,bauru
3516804,Gastão Vidigal,nhandeara,sao jose do rio preto
3516853,Gavião Peixoto,araraquara,ribeirao preto
3516903,General Salgado,general salgado,sao jose do rio preto
3517000,Getulina,getulina,aracatuba
3517109,Glicério,penapolis,aracatuba
3517208,Guaiçara,lins,aracatuba
3517307,Guaimbê,getulina,aracatuba
3517406,Guaíra,guaira,sao jose do rio preto
3517505,Guapiaçu,sao jose do rio preto,sao jose do rio preto
3517604,Guapiara,capao bonito,sorocaba
3517703,Guará,guara,franca
3517802,Guaraçaí,mirandopolis,aracatuba
3517901,Guaraci,olimpia,sao jose do rio preto
3518008,Guarani d'Oeste,ouroeste,sao jose do rio preto
3518107,Guarantã,cafelandia,aracatuba
3518206,Guararapes,guararapes,aracatuba
