id_municipio,ID_Município,AR,AR_End,AR_Número,AR_Complemento,AR_Bairro,AR_CEP,AR_MunSede,AR_EndCompleto,AR_Tel,AR_URL,ID_GA,Num_GA,GA,GA_SecSec,GA_SecFuncao,GA_End,GA_Número,GA_Complemento,GA_Bairro,GA_CEP,GA_MunSede,GA_EndCompleto,GA_Telefone,GA_Email,GA_Link,GA_AtoCriacao,GA_AtoLink,ID_RP,RP_Num,RP_Nome,RP_UGRHI
3500105,3500105,Presidente Prudente,Rua Ribeiro de Barros,630,,Jardim Aviação,19020-430,Presidente Prudente,"Rua Ribeiro de Barros, 630 - Jardim Aviação, Presidente Prudente, 19020-430",(18) 3221-7156,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_pprudente/mapa_presidenteprudente,,,,,,,,,,,,,,,,,,11,XI,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3500204,3500204,São José do Rio Preto,Rua Voluntários de São Paulo,3539,,Centro,15015-200,São José do Rio Preto,"Rua Voluntários de São Paulo, 3539 - Centro, São José do Rio Preto, 15015-200",(17) 3121-4354,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/mapa_saojosedoriopreto,,,,,,,,,,,,,,,,,,10,X,Baixo Tietê,UGRHI Baixo Tietê
3500303,3500303,Campinas,Avenida Francisco Xavier de Arruda Camargo,340,,Jardim Santana,13088-902,Campinas,"Avenida Francisco Xavier de Arruda Camargo, 340 - Jardim Santana, Campinas, 13088-902",(19) 3578-8300,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/mapa_campinas,,,,,,,,,,,,,,,,,,14,XIV,Alto Mogi,UGRHI Mogi-Guaçu
3500402,3500402,Campinas,Avenida Francisco Xavier de Arruda Camargo,340,,Jardim Santana,13088-902,Campinas,"Avenida Francisco Xavier de Arruda Camargo, 340 - Jardim Santana, Campinas, 13088-902",(19) 3578-8300,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/mapa_campinas,,,,,,,,,,,,,,,,,,14,XIV,Alto Mogi,UGRHI Mogi-Guaçu
3500501,3500501,Campinas,Avenida Francisco Xavier de Arruda Camargo,340,,Jardim Santana,13088-902,Campinas,"Avenida Francisco Xavier de Arruda Camargo, 340 - Jardim Santana, Campinas, 13088-902",(19) 3578-8300,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_campinas/mapa_campinas,,,,,,,,,,,,,,,,,,14,XIV,Alto Mogi,UGRHI Mogi-Guaçu
3500550,3500550,Bauru,Rua Afonso Pena,5-40,,,17060-250,Bauru,"Rua Afonso Pena, 5-40 - , Bauru, 17060-250",(14) 3222-3903 / 3222-6349 / 3222-6677,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/mapa_bauru,,,,,,,,,,,,,,,,,,6,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3500600,3500600,Piracicaba,Rua Almirante Barroso,491,,São Judas,13416-398,Piracicaba,"Rua Almirante Barroso, 491 - São Judas, Piracicaba, 13416-398",(19) 3433-6185 / 3434-7843,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/regioes_adm_piracicaba/mapa_piracicaba,11,XI,Núcleo PCJ-Piracicaba,Dr. Alexandra Facciolli Martins,1º PJ de Piracicaba,Rua Almirante Barroso,491,,São Judas,13416-398,Piracicaba,"Rua Almirante Barroso, 491, São Judas, Piracicaba, 13416-398",(19) 3433-6185,gaemapiracicaba@mpsp.mp.br,http://www.mp.sp.gov.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/piracicaba,"Ato Normativo nº 716/11-PGJ, de 05/10/11",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/716.pdf,,,,
3500709,3500709,Bauru,Rua Afonso Pena,5-40,,,17060-250,Bauru,"Rua Afonso Pena, 5-40 - , Bauru, 17060-250",(14) 3222-3903 / 3222-6349 / 3222-6677,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_bauru/mapa_bauru,7,VII,Núcleo Médio Paranapanema,Dr. Sérgio Campanharo,6º PJ de Assis,Avenida Siqueira Campos,185,,Vila Operária,19804-010,Assis,"Avenida Siqueira Campos, 185, Vila Operária, Assis, 19804-010",(18) 3323-1775,gaemaparanapanema@mpsp.mp.br,http://www.mp.sp.gov.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/Medio_Paranapanema,"Ato Normativo nº 649/10-PGJ, de 17/06/10",http://biblioteca.mp.sp.gov.br/PHL_IMG/Atos/649.pdf,,,,
3500758,3500758,Sorocaba,Rua Professora Zélia Dulce de Campos Maia,74,,Vila Florinda,18040-580,Sorocaba,"Rua Professora Zélia Dulce de Campos Maia, 74 - Vila Florinda, Sorocaba, 18040-580",(15) 3231-6955 / 3233-7370 / 3211-2672,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sorocaba/mapa_sorocaba,,,,,,,,,,,,,,,,,,6,VI,Alto Paranapanema,UGRHI Alto Paranapanema
3500808,3500808,Presidente Prudente,Rua Ribeiro de Barros,630,,Jardim Aviação,19020-430,Presidente Prudente,"Rua Ribeiro de Barros, 630 - Jardim Aviação, Presidente Prudente, 19020-430",(18) 3221-7156,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_pprudente/mapa_presidenteprudente,6,VI,Núcleo Pontal do Paranapanema,Dr. Gabriel Lino de Paula Pires,2º PJ de Presidente Epitácio,Rua Ribeiro de Barros,630,,Vila Dubus,19020-430,Presidente Prudente,"Rua Ribeiro de Barros, 630, Vila Dubus, Presidente Prudente, 19020-430",(18) 3345-2185,gaemaprudente@mpsp.mp.br,http://www.mp.sp.gov.br/portal/page/portal/cao_urbanismo_e_meio_ambiente/rede_gaema/PontalParanapanema,"Ato Normativo nº 552/08-PGJ, de 04/09/08",http://biblioteca.mp.sp.gov.br/PHL_img/ATOS/552.pdf,,,,
