id_municipio,municipio_nome,id_pj,pj_nome
3500105,Adamantina,3500105,Adamantina
3500204,Adolfo,3525706,José Bonifácio
3500303,Aguaí,3500303,Aguaí
3500402,Águas da Prata,3549102,São João da Boa Vista
3500501,Águas de Lindóia,3500501,Águas de Lindóia
3500550,Águas de Santa Bárbara,3511409,Cerqueira César
3500600,Águas de São Pedro,3550407,São Pedro
3500709,Agudos,3500709,Agudos
3500758,Alambari,3522307,Itapetininga
3500808,Alfredo Marcondes,3541406,Presidente Prudente
3500907,Altair,3533908,Olímpia
3501004,Altinópolis,3501004,Altinópolis
3501103,Alto Alegre,3537305,Penápolis
3501152,Alumínio,3528403,Mairinque
3501202,Álvares Florence,3557105,Votuporanga
3501301,Álvares Machado,3541406,Presidente Prudente
3501400,Álvaro de Carvalho,3516705,Garça
3501509,Alvinlândia,3516705,Garça
3501608,Americana,3501608,Americana
3501707,Américo Brasiliense,3501707,Américo Brasiliense
3501806,Américo de Campos,3553401,Tanabi
3501905,Amparo,3501905,Amparo
3502002,Analândia,3523602,Itirapina
3502101,Andradina,3502101,Andradina
3502200,Angatuba,3502200,Angatuba
3502309,Anhembi,3512308,Conchas
3502408,Anhumas,3541406,Presidente Prudente
3502507,Aparecida,3502507,Aparecida
3502606,Aparecida d'Oeste,3535200,Palmeira d'Oeste
3502705,Apiaí,3502705,Apiaí
3502754,Araçariguama,3550605,São Roque
3502804,Araçatuba,3502804,Araçatuba
3502903,Araçoiaba da Serra,3552205,Sorocaba
3503000,Aramina,3520103,Igarapava
3503109,Arandu,3504503,Avaré
3503158,Arapeí,3504909,Bananal
3503208,Araraquara,3503208,Araraquara
3503307,Araras,3503307,Araras
3503356,Arco-Íris,3555000,Tupã
3503406,Arealva,3506003,Bauru
3503505,Areias,3541901,Queluz
3503604,Areiópolis,3550100,São Manuel
3503703,Ariranha,3545605,Santa Adélia
3503802,Artur Nogueira,3503802,Artur Nogueira
3503901,Arujá,3503901,Arujá
3503950,Aspásia,3555802,Urânia
3504008,Assis,3504008,Assis
3504107,Atibaia,3504107,Atibaia
3504206,Auriflama,3504206,Auriflama
3504305,Avaí,3506003,Bauru
3504404,Avanhandava,3537305,Penápolis
3504503,Avaré,3504503,Avaré
3504602,Bady Bassitt,3549805,São José do Rio Preto
3504701,Balbinos,3538907,Pirajuí
3504800,Bálsamo,3530300,Mirassol
3504909,Bananal,3504909,Bananal
3505005,Barão de Antonina,3522802,Itaporanga
3505104,Barbosa,3537305,Penápolis
3505203,Bariri,3505203,Bariri
3505302,Barra Bonita,3505302,Barra Bonita
3505351,Barra do Chapéu,3502705,Apiaí
3505401,Barra do Turvo,3524600,Jacupiranga
3505500,Barretos,3505500,Barretos
3505609,Barrinha,3551702,Sertãozinho
3505708,Barueri,3505708,Barueri
3505807,Bastos,3505807,Bastos
3505906,Batatais,3505906,Batatais
3506003,Bauru,3506003,Bauru
3506102,Bebedouro,3506102,Bebedouro
3506201,Bento de Abreu,3556305,Valparaíso
3506300,Bernardino de Campos,3520905,Ipaussu
3506359,Bertioga,3506359,Bertioga
3506409,Bilac,3506409,Bilac
3506508,Birigui,3506508,Birigui
3506607,Biritiba-Mirim,3530607,Mogi das Cruzes
3506706,Boa Esperança do Sul,3542909,Ribeirão Bonito
3506805,Bocaina,3525300,Jaú
3506904,Bofete,3540507,Porangaba
3507001,Boituva,3507001,Boituva
3507100,Bom Jesus dos Perdões,3532405,Nazaré Paulista
3507159,Bom Sucesso de Itararé,3523206,Itararé
3507209,Borá,3535507,Paraguaçu Paulista
3507308,Boracéia,3536703,Pederneiras
3507407,Borborema,3507407,Borborema
3507456,Borebi,3526803,Lençóis Paulista
3507506,Botucatu,3507506,Botucatu
3507605,Bragança Paulista,3507605,Bragança Paulista
