id_pj,pj_nome
3500105,Adamantina
3500303,Aguaí
3500501,Águas de Lindóia
3500709,Agudos
3501004,Altinópolis
3501608,Americana
3501707,Américo Brasiliense
3501905,Amparo
3502101,Andradina
3502200,Angatuba
3502507,Aparecida
3502705,Apiaí
3502804,Araçatuba
3503208,Araraquara
3503307,Araras
3503802,Artur Nogueira
3503901,Arujá
3504008,Assis
3504107,Atibaia
3504206,Auriflama
3504503,Avaré
3504909,Bananal
3505203,Bariri
3505302,Barra Bonita
3505500,Barretos
3505708,Barueri
3505807,Bastos
3505906,Batatais
3506003,Bauru
3506102,Bebedouro
3506359,Bertioga
3506409,Bilac
3506508,Birigui
3507001,Boituva
3507407,Borborema
3507506,Botucatu
3507605,Bragança Paulista
3507803,Brodowski
3507902,Brotas
3508009,Buri
3508108,Buritama
3508405,Cabreúva
3508504,Caçapava
3508603,Cachoeira Paulista
3508702,Caconde
3508801,Cafelândia
3509007,Caieiras
3509205,Cajamar
3509403,Cajuru
3509502,Campinas
3509601,Campo Limpo Paulista
3509700,Campos do Jordão
3509908,Cananéia
3510005,Cândido Mota
3510203,Capão Bonito
3510401,Capivari
3510500,Caraguatatuba
3510609,Carapicuíba
3510708,Cardoso
3510807,Casa Branca
3511102,Catanduva
3511409,Cerqueira César
3511508,Cerquilho
3511607,Cesário Lange
3512001,Colina
3512209,Conchal
3512308,Conchas
3512407,Cordeirópolis
3512803,Cosmópolis
3513009,Cotia
3513108,Cravinhos
3513405,Cruzeiro
3513504,Cubatão
3513603,Cunha
3513702,Descalvado
3513801,Diadema
3514106,Dois Córregos
3514403,Dracena
3514502,Duartina
3514809,Eldorado
3515004,Embu das Artes
3515103,Embu-Guaçu
3515186,Espírito Santo do Pinhal
3515202,Estrela d'Oeste
3515400,Fartura
3515509,Fernandópolis
3515707,Ferraz de Vasconcelos
3516002,Flórida Paulista
3516200,Franca
3516309,Francisco Morato
3516408,Franco da Rocha
3516606,Gália
3516705,Garça
3516903,General Salgado
3517000,Getulina
3517406,Guaíra
3517703,Guará
3518206,Guararapes
3518305,Guararema
3518404,Guaratinguetá
3518602,Guariba
3518701,Guarujá
3518800,Guarulhos
3519071,Hortolândia
3519105,Iacanga
3519303,Ibaté
3519600,Ibitinga
3519709,Ibiúna
3519907,Iepê
3520103,Igarapava
3520301,Iguape
3520400,Ilhabela
3520442,Ilha Solteira
3520509,Indaiatuba
3520905,Ipaussu
3521309,Ipuã
3521705,Itaberá
3521804,Itaí
3521903,Itajobi
3522109,Itanhaém
3522208,Itapecerica da Serra
3522307,Itapetininga
3522406,Itapeva
3522505,Itapevi
3522604,Itapira
3522703,Itápolis
3522802,Itaporanga
3523107,Itaquaquecetuba
3523206,Itararé
3523305,Itariri
3523404,Itatiba
3523503,Itatinga
3523602,Itirapina
3523909,Itu
3524105,Ituverava
3524303,Jaboticabal
3524402,Jacareí
3524600,Jacupiranga
3524709,Jaguariúna
3524808,Jales
3525003,Jandira
3525102,Jardinópolis
3525201,Jarinu
3525300,Jaú
3525706,José Bonifácio
3525904,Jundiaí
3526001,Junqueirópolis
3526100,Juquiá
3526407,Laranjal Paulista
3526704,Leme
3526803,Lençóis Paulista
3526902,Limeira
3527108,Lins
3527207,Lorena
3527306,Louveira
3527405,Lucélia
3528007,Macatuba
3528106,Macaubal
3528403,Mairinque
3528502,Mairiporã
3528809,Maracaí
3529005,Marília
3529203,Martinópolis
3529302,Matão
3529401,Mauá
3529708,Miguelópolis
3529906,Miracatu
3530102,Mirandópolis
3530201,Mirante do Paranapanema
3530300,Mirassol
3530508,Mococa
3530607,Mogi das Cruzes
3530706,Mogi Guaçu
3530805,Mogi Mirim
3531100,Mongaguá
3531308,Monte Alto
3531407,Monte Aprazível
3531506,Monte Azul Paulista
3531803,Monte Mor
3531902,Morro Agudo
3532405,Nazaré Paulista
3532504,Neves Paulista
3532603,Nhandeara
3533007,Nova Granada
3533403,Nova Odessa
3533502,Novo Horizonte
3533601,Nuporanga
3533908,Olímpia
3534302,Orlândia
3534401,Osasco
3534609,Osvaldo Cruz
3534708,Ourinhos
3534757,Ouroeste
3534906,Pacaembu
3535002,Palestina
3535200,Palmeira d'Oeste
3535309,Palmital
3535408,Panorama
3535507,Paraguaçu Paulista
3535606,Paraibuna
3535804,Paranapanema
3536208,Pariquera-Açu
3536307,Patrocínio Paulista
3536505,Paulínia
3536604,Paulo de Faria
3536703,Pederneiras
3537008,Pedregulho
3537107,Pedreira
3537305,Penápolis
3537404,Pereira Barreto
3537602,Peruíbe
3537800,Piedade
3537909,Pilar do Sul
3538006,Pindamonhangaba
3538204,Pinhalzinho
3538501,Piquete
3538600,Piracaia
3538709,Piracicaba
3538808,Piraju
3538907,Pirajuí
3539004,Pirangi
3539202,Pirapozinho
3539301,Pirassununga
3539400,Piratininga
3539509,Pitangueiras
3539806,Poá
3540002,Pompéia
3540200,Pontal
3540507,Porangaba
3540606,Porto Feliz
3540705,Porto Ferreira
3540804,Potirendaba
3541000,Praia Grande
3541208,Presidente Bernardes
3541307,Presidente Epitácio
3541406,Presidente Prudente
3541505,Presidente Venceslau
3541604,Promissão
3541703,Quatá
3541901,Queluz
3542206,Rancharia
3542404,Regente Feijó
3542602,Registro
3542909,Ribeirão Bonito
3543303,Ribeirão Pires
3543402,Ribeirão Preto
3543907,Rio Claro
3544004,Rio das Pedras
3544103,Rio Grande da Serra
3544251,Rosana
3544301,Roseira
3545001,Salesópolis
3545209,Salto
3545308,Salto de Pirapora
3545605,Santa Adélia
3545803,Santa Bárbara D'Oeste
3546009,Santa Branca
3546306,Santa Cruz das Palmeiras
3546405,Santa Cruz do Rio Pardo
3546603,Santa Fé do Sul
3546801,Santa Isabel
3547304,Santana de Parnaíba
3547502,Santa Rita do Passa Quatro
3547601,Santa Rosa de Viterbo
3547700,Santo Anastácio
3547809,Santo André
3548500,Santos
3548609,São Bento do Sapucaí
3548708,São Bernardo do Campo
3548807,São Caetano do Sul
3548906,São Carlos
3549102,São João da Boa Vista
3549409,São Joaquim da Barra
3549706,São José do Rio Pardo
3549805,São José do Rio Preto
3549904,São José dos Campos
3550001,São Luís do Paraitinga
3550100,São Manuel
3550209,São Miguel Arcanjo
3550308,São Paulo
3550407,São Pedro
3550605,São Roque
3550704,São Sebastião
3550803,São Sebastião da Grama
3550902,São Simão
3551009,São Vicente
3551504,Serrana
3551603,Serra Negra
3551702,Sertãozinho
3552106,Socorro
3552205,Sorocaba
3552403,Sumaré
3552502,Suzano
3552601,Tabapuã
3552809,Taboão da Serra
3553302,Tambaú
3553401,Tanabi
3553708,Taquaritinga
3553807,Taquarituba
3554003,Tatuí
3554102,Taubaté
3554300,Teodoro Sampaio
3554508,Tietê
3554805,Tremembé
3555000,Tupã
3555109,Tupi Paulista
3555406,Ubatuba
3555802,Urânia
3556008,Urupês
3556206,Valinhos
3556305,Valparaíso
3556404,Vargem Grande do Sul
3556453,Vargem Grande Paulista
3556503,Várzea Paulista
3556701,Vinhedo
3556800,Viradouro
3557006,Votorantim
3557105,Votuporanga
3557204,Chavantes
