pj,url,municipio,ar,tem_pj
Auriflama,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_auriflama,Auriflama,São José do Rio Preto,Sim
Barretos,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_barretos,Barretos,São José do Rio Preto,Sim
Cardoso,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_cardoso,Cardoso,São José do Rio Preto,Sim
Catanduva,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_catanduva,Catanduva,São José do Rio Preto,Sim
Colina,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_colina,Colina,São José do Rio Preto,Sim
Estrela D'Oeste,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_estrela_oeste,Estrela D'Oeste,São José do Rio Preto,Sim
Fernandópolis,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_fernandopolis,Fernandópolis,São José do Rio Preto,Sim
General Salgado,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_general,General Salgado,São José do Rio Preto,Sim
Icém,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_icem,Icém,São José do Rio Preto,Sim
Itajobi,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_itajobi,Itajobi,São José do Rio Preto,Sim
Jales,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jales,Jales,São José do Rio Preto,Sim
José Bonifácio,http://www.mpsp.mp.br/portal/page/portal/Promotorias_de_Justica/regioes_adm/relacoes_regionais/rel_regionais_sao_jose/sjrp_jose_bonifacio,José Bonifácio,São José do Rio Preto,Sim
